empid,promoted,training,manager,raise,salary,children,mstatus,age,sex,edu,vacation,weight,height,hrfriend,cxofriend,insurance,flexspend,retcont,race,disthome,testscore
33,No,Yes,Yes,No,> $80k,1,married,35,Male,17,11,151.79,68.06,Yes,No,Covered,No,No,white,27,44.5
35,Yes,Yes,No,No,$40-$80k,0,divorced,44,Female,15,8,210.37,63.51,Yes,No,Covered,No,No,white,29,69
39,Yes,Yes,No,No,$20-$40k,1,single,29,Male,12,11,250.54,66.68,Yes,Yes,Covered,Yes,No,other,5,74.5
40,No,No,No,No,Under $20k,2,single,18,Male,12,15,288.03,77.93,No,Yes,Covered,No,No,black,13,38
41,Yes,No,No,No,Under $20k,1,single,43,Male,7,7,238.09,80.34,No,Yes,Medicaid,Yes,No,white,16,57.5
42,No,Yes,No,No,Under $20k,1,single,28,Female,13,15,244.72,74.9,No,Yes,Other,Yes,No,black,29,66.5
43,Yes,No,No,No,Under $20k,1,single,33,Male,13,11,133.63,69.79,Yes,Yes,Covered,No,Yes,black,21,72.5
44,Yes,No,No,No,$20-$40k,1,divorced,26,Female,14,10,162.78,60.3,No,Yes,Covered,No,Yes,white,16,74.5
45,Yes,No,No,No,Under $20k,2,single,50,Male,12,10,140.47,66.33,Yes,No,Covered & Medicaid,Yes,No,white,16,63
46,Yes,No,No,Yes,Under $20k,0,single,67,Male,10,12,132.46,58.26,No,Yes,Medicare,No,No,white,18,53
50,No,No,No,No,Under $20k,2,single,47,Male,10,9,127.3,71.5,No,No,Covered & Medicaid,No,No,white,31,63
53,No,No,No,No,Under $20k,2,single,51,Male,12,6,131.35,61.72,No,No,Covered,Yes,No,white,19,76.5
54,Yes,Yes,No,No,Under $20k,2,divorced,50,Male,4,9,221.47,56.24,Yes,Yes,Medicaid,No,No,white,7,61
55,No,No,Yes,No,$40-$80k,1,single,38,Female,10,9,176.89,71.12,No,No,Covered,Yes,No,white,32,81.5
62,Yes,Yes,No,No,Under $20k,0,single,43,Female,10,9,204.04,54.48,Yes,Yes,Covered & Medicaid,Yes,No,white,11,68.5
65,No,No,No,No,Under $20k,0,single,39,Male,12,10,127.31,74.98,No,Yes,Medicaid,Yes,No,other,36,65.5
66,No,Yes,Yes,No,$40-$80k,1,single,36,Male,12,12,112.04,59.62,Yes,No,Covered,No,Yes,white,6,60
68,Yes,No,Yes,No,> $80k,0,single,38,Male,12,8,139.52,61.06,Yes,Yes,Covered,No,Yes,white,17,94
71,Yes,No,No,Yes,Under $20k,1,married,47,Male,9,7,164.18,67.49,No,No,Covered & Medicaid,Yes,No,black,14,64
72,Yes,No,No,Yes,$20-$40k,1,divorced,42,Male,8,6,200.46,57.04,No,Yes,Covered,No,No,white,32,53.5
74,No,Yes,No,No,$20-$40k,1,single,18,Male,12,13,150.46,77.04,Yes,No,Covered,No,No,white,19,68.5
75,Yes,No,No,No,Under $20k,1,single,66,Female,11,12,130.31,66.28,No,Yes,Medicare,Yes,No,white,38,69
76,Yes,No,No,No,Under $20k,1,single,29,Male,11,9,168.66,60.26,Yes,Yes,Medicaid,Yes,No,white,32,92.5
77,Yes,No,No,Yes,Under $20k,1,divorced,56,Male,8,8,182.37,77.93,No,Yes,Covered & Medicaid,No,No,white,36,54.5
78,No,No,No,No,Under $20k,1,married,41,Male,3,9,167.4,65.88,Yes,No,Medicaid,Yes,No,black,12,51.5
80,No,No,No,Yes,Under $20k,2,married,22,Female,11,10,168.48,62.04,No,No,Medicaid,No,No,other,40,54.5
81,Yes,No,No,Yes,Under $20k,1,single,56,Male,10,9,112.77,62.67,No,Yes,Medicaid,No,No,white,39,90
82,No,No,No,Yes,Under $20k,1,single,49,Male,10,11,215.41,69.09,No,No,Medicaid,Yes,No,black,14,65.5
83,Yes,No,Yes,Yes,> $80k,2,single,56,Male,19,8,141.51,67.49,No,No,Covered,Yes,Yes,white,19,96
85,No,Yes,Yes,No,> $80k,0,single,40,Female,15,15,159.62,65.73,Yes,No,Covered,No,Yes,white,1,57.5
87,Yes,No,No,No,Under $20k,0,single,60,Male,6,10,148.48,75.52,Yes,Yes,Medicaid,No,Yes,black,19,73
92,Yes,No,No,No,Under $20k,4,married,45,Male,12,17,155.39,73.91,Yes,Yes,Covered,Yes,No,white,35,90.5
94,Yes,No,No,Yes,$20-$40k,5,married,55,Male,11,7,173.89,57.04,Yes,No,Medicaid,No,No,white,15,72
96,Yes,Yes,No,No,$20-$40k,2,single,58,Male,17,11,157.45,57.04,Yes,No,Medicaid,Yes,No,white,25,67
97,Yes,Yes,Yes,Yes,> $80k,2,divorced,43,Male,16,11,133.93,73.62,Yes,Yes,Covered,No,No,white,1,80.5
99,Yes,Yes,No,No,Under $20k,4,married,60,Female,12,8,146.59,53.72,No,Yes,Medicaid,Yes,No,white,10,61.5
101,Yes,No,No,Yes,Under $20k,4,married,30,Male,11,10,166.07,77.87,Yes,Yes,Medicaid,Yes,No,white,38,56
102,No,Yes,No,No,Under $20k,1,single,34,Male,6,12,165.87,58.26,No,Yes,Medicaid,No,No,white,7,23
104,No,No,No,Yes,Under $20k,1,single,41,Female,12,7,119.09,57.5,No,Yes,Covered & Medicaid,No,No,white,31,62.5
106,Yes,No,No,Yes,Under $20k,1,divorced,35,Male,11,9,173.06,73.91,No,Yes,Medicaid,Yes,No,black,19,88.5
108,No,Yes,No,Yes,Under $20k,1,single,48,Female,10,15,153.08,58.26,No,Yes,Medicaid,No,No,white,14,48
110,No,No,No,No,$20-$40k,1,single,18,Female,0,9,165.03,64.31,No,No,Medicaid,No,No,white,13,64.5
112,No,No,No,No,Under $20k,2,single,48,Female,12,11,182.22,57.5,Yes,No,Medicaid,Yes,No,white,19,48
113,Yes,No,No,No,$20-$40k,3,married,44,Male,12,9,194.04,65.88,Yes,Yes,Covered,Yes,No,white,14,79.5
119,Yes,No,No,No,Under $20k,0,single,27,Female,11,6,164.71,55.23,Yes,No,Medicaid,No,Yes,black,15,82
121,Yes,No,Yes,No,> $80k,1,single,54,Male,16,13,173.53,68.64,No,No,Covered,Yes,No,white,36,92.5
123,No,No,No,Yes,Under $20k,4,married,41,Female,11,7,341.56,72.63,Yes,Yes,Covered & Medicaid,No,No,white,40,55.5
125,Yes,No,No,No,Under $20k,2,divorced,46,Female,11,10,196.98,74.15,Yes,Yes,Covered & Medicaid,No,No,white,40,77.5
128,Yes,Yes,No,No,Under $20k,3,married,42,Male,14,10,282.86,64.27,Yes,No,Covered,No,No,white,23,73.5
129,No,Yes,No,No,$20-$40k,2,single,47,Male,15,11,162.77,65.88,Yes,No,Covered & Medicaid,Yes,No,white,21,56.5
130,Yes,No,No,Yes,$40-$80k,5,married,44,Male,12,9,183.11,57.84,Yes,Yes,Covered,Yes,No,white,11,83.5
131,Yes,Yes,Yes,No,> $80k,0,single,18,Female,13,9,127.37,61.38,Yes,No,Covered,Yes,No,white,14,50
132,Yes,No,No,No,$40-$80k,2,married,58,Female,14,7,197.85,68.44,No,No,Covered,No,Yes,white,40,94
133,Yes,No,No,No,Under $20k,0,divorced,30,Male,10,13,107.16,57.68,Yes,Yes,Medicaid,No,Yes,black,12,69.5
134,Yes,No,No,No,Under $20k,5,married,40,Female,11,9,178.85,73.49,Yes,Yes,Covered & Medicaid,No,No,white,23,49
135,Yes,No,No,No,Under $20k,0,divorced,54,Male,12,11,184.6,66.68,Yes,No,Medicaid,Yes,No,white,19,78.5
137,Yes,No,No,No,Under $20k,1,single,56,Male,9,8,134.63,61.72,Yes,No,Medicaid,Yes,No,black,14,56.5
138,No,No,No,No,Under $20k,1,single,35,Female,16,13,238.85,76.42,Yes,Yes,Other,No,No,white,21,37.5
139,No,Yes,No,No,$20-$40k,2,married,29,Male,18,9,139.7,64.27,Yes,Yes,Covered,No,No,white,18,32.5
140,No,No,No,Yes,Under $20k,2,single,48,Male,10,9,227.92,57.04,No,No,Covered & Medicaid,Yes,No,white,12,45
144,Yes,No,No,No,Under $20k,1,divorced,48,Male,11,10,174.85,56.24,Yes,Yes,Covered & Medicaid,No,No,white,33,67.5
145,No,Yes,Yes,No,$40-$80k,1,single,32,Female,13,9,155.97,60.53,No,No,Covered,Yes,No,black,8,30
147,Yes,No,No,No,Under $20k,0,married,42,Female,3,8,199.05,57.5,No,Yes,Medicaid,Yes,No,white,17,89
148,Yes,No,No,No,Under $20k,1,single,57,Female,14,10,130.01,72.63,No,Yes,Covered & Medicaid,Yes,No,white,12,56.5
149,Yes,Yes,No,Yes,Under $20k,0,single,51,Male,12,8,149.11,57.04,Yes,Yes,Covered,Yes,No,white,21,47.5
151,No,No,No,Yes,$20-$40k,0,single,37,Female,12,8,127.65,63.55,No,Yes,Medicaid,No,No,white,16,77
152,No,No,No,No,Under $20k,2,single,28,Male,10,9,227.22,61.06,No,No,Medicaid,No,No,white,40,68
154,Yes,Yes,No,No,Under $20k,3,married,65,Male,12,10,133.17,73.91,Yes,No,Covered,Yes,No,white,13,55
155,Yes,No,No,Yes,Under $20k,2,single,38,Female,11,12,120.17,55.99,No,Yes,Covered,No,Yes,white,16,59.5
159,No,No,No,No,$20-$40k,0,single,31,Female,12,10,110.97,58.67,Yes,No,Covered,No,No,white,38,35.5
163,Yes,No,No,No,Under $20k,0,divorced,45,Male,12,17,205.03,62.67,Yes,Yes,Covered,No,No,white,18,56
165,Yes,No,No,No,Under $20k,1,divorced,49,Female,12,10,235.55,68.85,Yes,Yes,Covered & Medicaid,Yes,No,white,21,72
167,Yes,No,No,No,Under $20k,2,divorced,61,Female,11,10,129.42,66.81,Yes,No,Medicaid,Yes,No,white,31,63.5
168,Yes,No,No,Yes,Under $20k,0,single,56,Female,12,7,149.89,65.87,No,Yes,Medicaid,No,No,black,16,76.5
169,Yes,No,Yes,Yes,> $80k,3,married,33,Female,18,7,152.1,53.72,Yes,No,Covered,No,No,black,19,95.5
170,No,No,No,Yes,Under $20k,0,single,61,Female,16,11,164.17,57.5,No,No,Covered & Medicaid,Yes,No,white,32,32
171,No,Yes,No,No,Under $20k,3,divorced,58,Female,12,16,112.64,52.96,Yes,No,Medicaid,Yes,No,white,15,22.5
173,No,No,No,Yes,Under $20k,0,single,60,Female,11,11,104.44,58.12,Yes,No,Medicaid,No,Yes,white,14,60
175,No,Yes,No,No,Under $20k,5,married,35,Female,11,7,199.47,74.9,No,Yes,Covered,Yes,No,black,2,49
176,Yes,Yes,No,No,Under $20k,1,single,21,Male,7,13,122.09,67.49,Yes,Yes,Other,No,No,black,25,65.5
177,Yes,Yes,No,Yes,$20-$40k,1,single,46,Male,11,11,192.79,70.7,No,No,Covered,Yes,No,white,16,57
178,Yes,No,No,No,Under $20k,2,divorced,45,Male,12,10,152.08,61.06,No,No,Other,No,No,white,39,62.5
179,Yes,No,No,No,Under $20k,1,single,33,Male,14,10,184.27,65.08,Yes,No,Other,No,No,white,34,75.5
182,Yes,No,No,No,Under $20k,1,single,29,Male,8,11,350.49,74.72,No,Yes,Covered,No,Yes,white,31,57.5
184,No,No,No,Yes,$20-$40k,2,married,35,Male,12,17,229.83,81.14,No,Yes,Covered,No,No,white,16,50.5
186,No,Yes,No,No,Under $20k,2,married,40,Male,7,6,183.52,68.29,Yes,No,Covered,Yes,No,white,28,28.5
188,Yes,No,No,No,$20-$40k,1,single,39,Female,14,15,118.48,66.81,Yes,Yes,Covered,No,Yes,white,25,75
189,No,Yes,No,Yes,Under $20k,5,married,31,Female,11,11,241.41,52.96,No,Yes,Medicaid,No,No,black,20,29.5
190,Yes,No,No,Yes,$20-$40k,2,divorced,39,Female,12,7,141.13,58.67,No,No,Medicaid,No,No,white,24,78.5
193,Yes,No,No,No,Under $20k,2,divorced,53,Male,12,17,159.31,59.45,Yes,Yes,Medicaid,No,Yes,white,23,83.5
195,Yes,No,No,No,Under $20k,1,divorced,54,Female,12,8,93.01,55.99,No,Yes,Medicaid,No,Yes,white,20,54
196,Yes,No,No,No,Under $20k,1,single,41,Male,8,8,128.82,73.25,No,Yes,Covered,No,No,white,19,87.5
199,Yes,Yes,No,Yes,Under $20k,1,married,49,Female,12,10,182.18,69.61,No,Yes,Covered & Medicaid,No,No,white,6,66.5
200,Yes,Yes,No,No,Under $20k,1,married,46,Male,10,9,225.12,69.09,No,Yes,Medicaid,Yes,No,white,11,67.5
205,Yes,No,No,Yes,Under $20k,3,married,56,Female,18,8,149.23,64.64,No,Yes,Medicaid,Yes,No,white,36,69
207,Yes,No,No,Yes,Under $20k,2,divorced,50,Male,3,7,121.21,56.24,Yes,Yes,Covered & Medicaid,No,No,other,20,74
208,Yes,Yes,No,No,Under $20k,2,single,54,Male,9,11,184.93,57.04,No,Yes,Medicaid,No,No,white,16,52.5
210,Yes,No,No,No,$20-$40k,5,married,46,Male,14,8,190.11,81.14,No,Yes,Covered,Yes,No,white,15,71
212,No,Yes,No,No,Under $20k,4,married,18,Female,12,13,164.51,55.99,No,No,Covered,No,No,black,11,40
213,Yes,No,No,No,$40-$80k,1,divorced,42,Male,16,8,166.83,59.45,No,No,Covered,No,No,white,21,73
214,Yes,No,No,No,$40-$80k,1,single,38,Female,18,14,167.44,62.04,Yes,Yes,Covered,No,Yes,white,18,87.5
216,Yes,No,No,No,Under $20k,3,married,57,Male,14,7,143.62,74.98,Yes,Yes,Medicaid,Yes,No,white,16,86
221,No,Yes,No,No,Under $20k,1,single,25,Female,14,17,107.26,70.62,Yes,No,Covered,No,No,white,10,55
222,Yes,No,No,No,$20-$40k,1,single,60,Female,8,6,132.68,66.58,No,Yes,Medicaid,Yes,No,white,23,72.5
223,Yes,No,No,No,Under $20k,2,divorced,52,Female,6,8,178.21,59.77,Yes,No,Medicaid,Yes,No,black,22,66.5
225,Yes,No,No,No,Under $20k,2,single,20,Female,11,9,150.5,55.99,No,Yes,Medicaid,No,No,white,13,64.5
227,Yes,No,No,No,Under $20k,1,single,60,Male,10,12,166.62,67.49,Yes,No,Covered & Medicaid,Yes,No,white,11,79
228,Yes,No,No,Yes,$40-$80k,1,divorced,56,Male,24,17,146.28,77.93,No,No,Covered,No,No,white,34,59
230,No,No,No,No,Under $20k,1,single,29,Male,17,11,138.11,70.37,Yes,No,Other,No,No,white,35,70.5
231,Yes,No,No,No,Under $20k,2,single,24,Female,7,7,119.09,55.99,Yes,No,Medicaid,No,No,other,25,78.5
232,No,No,No,Yes,Under $20k,2,single,58,Male,5,11,214.24,64.27,Yes,Yes,Medicaid,No,No,black,37,70
233,Yes,No,No,Yes,Under $20k,2,single,55,Male,8,10,140.55,69.9,Yes,Yes,Medicaid,Yes,No,black,40,69
235,No,Yes,Yes,No,$40-$80k,2,single,37,Female,14,10,125.4,63.55,No,Yes,Covered,Yes,No,other,21,21
236,Yes,No,No,Yes,Under $20k,1,divorced,50,Male,12,15,184.42,58.65,No,No,Covered & Medicaid,No,No,white,11,78.5
237,Yes,Yes,No,No,Under $20k,3,married,47,Male,12,15,154.74,72.31,Yes,Yes,Medicaid,Yes,No,white,16,84
238,Yes,Yes,No,Yes,$20-$40k,0,single,56,Male,18,10,151.59,68.29,No,No,Medicaid,No,No,white,6,63.5
239,No,Yes,Yes,Yes,$40-$80k,0,divorced,58,Male,20,12,147.52,64.02,Yes,Yes,Covered,No,No,white,29,35.5
240,Yes,No,No,No,Under $20k,1,single,62,Male,10,9,186.57,77.93,No,No,Medicare,No,Yes,white,31,47
248,No,No,No,Yes,Under $20k,1,single,53,Female,14,8,116.66,67.36,Yes,Yes,Medicaid,No,No,white,33,46.5
249,No,No,Yes,No,$40-$80k,1,single,37,Male,11,8,151.95,61.86,No,Yes,Medicaid,No,No,white,40,60.5
250,Yes,Yes,No,Yes,$20-$40k,3,divorced,47,Female,16,13,133.56,61.92,No,Yes,Medicaid,No,No,white,3,62
251,Yes,Yes,No,No,$20-$40k,1,single,31,Male,12,10,195.26,56.24,No,Yes,Medicaid,No,Yes,white,19,67.5
252,Yes,No,No,No,Under $20k,2,married,59,Female,8,17,97.56,52.96,No,Yes,Medicaid,Yes,No,white,20,78
254,No,Yes,No,No,Under $20k,4,married,29,Male,12,9,128.39,60.04,Yes,No,Medicaid,No,No,white,1,34.5
256,Yes,Yes,No,No,$20-$40k,2,single,49,Male,16,8,201.4,76.32,No,Yes,Covered & Medicaid,Yes,No,white,18,72
258,Yes,No,No,Yes,Under $20k,1,divorced,45,Female,6,11,151.58,62.8,No,Yes,Covered & Medicaid,No,No,white,25,77
259,Yes,No,No,No,$40-$80k,1,single,30,Male,12,6,190.27,70.95,No,Yes,Covered,Yes,No,white,34,69.5
261,Yes,No,No,No,$20-$40k,2,divorced,58,Male,23,13,178.38,69.9,No,No,Medicaid,Yes,No,white,11,68.5
264,Yes,Yes,No,No,Under $20k,1,single,54,Female,10,11,93.02,66.81,No,No,Medicaid,Yes,No,white,22,68.5
268,Yes,No,No,No,Under $20k,4,married,46,Male,10,15,144.33,68.29,Yes,Yes,Medicaid,Yes,No,white,23,58
269,Yes,Yes,No,No,Under $20k,0,single,62,Female,10,9,123.14,64.64,No,Yes,Covered,Yes,No,white,7,84.5
272,Yes,Yes,Yes,No,> $80k,5,married,35,Male,16,8,208.99,65.08,No,Yes,Covered,Yes,No,black,15,76
273,Yes,No,No,Yes,Under $20k,0,single,55,Female,12,8,79.39,64.64,Yes,Yes,Medicaid,No,No,white,40,79
275,Yes,Yes,No,No,Under $20k,0,single,51,Male,14,10,186.9,66.33,Yes,Yes,Covered & Medicaid,No,No,white,30,59
277,No,No,No,Yes,Under $20k,2,single,36,Female,12,15,146.41,64.64,Yes,No,Other,No,No,white,37,27
278,No,No,No,No,$40-$80k,2,single,36,Female,13,10,120.48,56.75,No,No,Covered,No,No,other,27,42
279,Yes,No,No,Yes,Under $20k,2,divorced,45,Male,11,11,273.87,57.84,Yes,Yes,Medicaid,Yes,No,black,28,75
280,No,No,Yes,Yes,$40-$80k,3,married,18,Female,12,6,122.35,60.3,No,No,Covered,No,No,white,26,52
281,Yes,No,No,No,$40-$80k,0,divorced,52,Female,14,11,132.4,67.02,Yes,Yes,Covered,No,No,white,14,61
282,Yes,No,No,No,Under $20k,2,married,43,Male,12,13,147.08,64.02,No,Yes,Medicaid,Yes,No,black,29,68.5
283,No,No,No,Yes,Under $20k,0,single,40,Female,16,7,146.41,54.48,Yes,No,Medicaid,No,Yes,white,33,44.5
284,No,No,No,Yes,Under $20k,1,single,48,Male,10,9,238.68,72.31,Yes,No,Medicaid,No,No,white,33,38.5
285,Yes,Yes,No,No,Under $20k,2,divorced,47,Male,10,10,154.09,65.18,No,Yes,Covered & Medicaid,No,No,white,1,51
286,No,No,No,No,$20-$40k,1,single,21,Female,15,12,199.33,62.47,Yes,No,Medicaid,No,No,other,37,57.5
287,No,No,No,Yes,Under $20k,1,single,35,Male,4,12,134.94,71.5,Yes,Yes,Medicaid,No,No,black,25,63.5
289,Yes,Yes,No,No,$20-$40k,1,single,55,Male,10,7,184.66,61.86,Yes,Yes,Covered & Medicaid,No,No,white,30,63
291,Yes,Yes,No,Yes,Under $20k,3,married,52,Female,8,8,137.56,54.48,Yes,Yes,Medicaid,No,No,white,28,66.5
292,Yes,Yes,No,No,$20-$40k,1,divorced,26,Female,12,14,113.7,52.96,No,Yes,Covered,No,No,white,23,63
293,No,No,No,Yes,Under $20k,0,single,34,Female,14,11,101.06,55.99,No,Yes,Medicaid,No,No,white,17,67.5
294,Yes,Yes,Yes,No,> $80k,1,single,47,Male,20,6,149.03,75.52,Yes,Yes,Covered,Yes,No,white,25,66
298,No,Yes,No,No,Under $20k,4,married,35,Female,12,8,182.89,54.48,Yes,No,Medicaid,No,No,white,25,26.5
299,No,Yes,Yes,No,$40-$80k,0,single,35,Female,17,15,174.07,60.84,No,No,Covered,Yes,No,white,17,68
301,Yes,No,No,No,Under $20k,2,divorced,18,Male,14,11,130.42,66.68,No,Yes,Covered,No,Yes,other,18,57
305,No,Yes,No,No,Under $20k,2,married,35,Male,11,8,160.46,69.9,No,Yes,Medicaid,Yes,No,white,25,32.5
307,No,Yes,No,No,$20-$40k,1,single,31,Female,12,16,195.87,52.96,No,Yes,Covered,Yes,No,white,14,28.5
309,Yes,No,No,No,$20-$40k,0,married,54,Male,12,11,233.36,72.31,No,Yes,Medicaid,Yes,No,white,27,74
311,No,Yes,No,Yes,Under $20k,2,single,18,Female,14,15,238.49,58.26,Yes,No,Medicaid,No,No,white,25,48
312,No,No,No,No,Under $20k,0,single,51,Male,8,15,174.5,70.95,No,No,Medicaid,No,Yes,white,32,33.5
315,Yes,No,No,No,Under $20k,1,single,27,Female,12,12,85.12,54.32,No,No,Covered,No,No,white,21,78.5
316,No,No,No,Yes,Under $20k,0,single,47,Male,3,6,188.83,68.29,No,Yes,Covered & Medicaid,No,No,white,36,70
317,Yes,Yes,Yes,No,$40-$80k,1,divorced,51,Male,16,10,136.78,58.65,No,Yes,Covered,No,No,white,6,64.5
318,Yes,Yes,No,Yes,$20-$40k,2,divorced,55,Male,7,14,119.06,59.99,No,Yes,Medicaid,No,No,black,29,43
319,No,No,No,No,$40-$80k,1,single,57,Female,14,12,123.31,59.21,Yes,No,Covered,Yes,No,white,25,41
320,Yes,Yes,No,No,Under $20k,0,married,52,Female,11,10,175.06,62.04,No,Yes,Covered & Medicaid,Yes,No,white,9,64.5
322,Yes,No,No,Yes,Under $20k,3,divorced,34,Male,10,12,167.3,75.52,No,Yes,Medicaid,No,No,black,21,74
324,Yes,Yes,No,No,$20-$40k,0,single,58,Female,15,12,128.46,55.41,Yes,Yes,Medicaid,No,No,white,26,65.5
326,No,No,No,Yes,Under $20k,1,married,33,Female,12,6,123.86,61.92,No,No,Covered,No,No,black,26,45
328,No,Yes,No,Yes,Under $20k,1,single,48,Male,10,11,227.42,69.09,No,No,Covered & Medicaid,Yes,No,white,13,38.5
329,No,No,No,Yes,Under $20k,1,single,28,Male,11,8,88.56,62.67,Yes,Yes,Medicaid,No,No,black,32,65.5
333,No,Yes,Yes,No,$40-$80k,4,married,43,Female,12,10,156.22,75.66,Yes,No,Covered,No,No,white,11,46.5
334,Yes,Yes,No,No,Under $20k,0,single,33,Male,5,10,218.59,61.06,Yes,Yes,Medicaid,No,No,white,15,72.5
338,No,No,No,No,$40-$80k,1,married,35,Female,12,11,155.35,63.55,No,No,Covered,Yes,No,white,24,29.5
340,Yes,Yes,No,No,Under $20k,2,single,30,Male,8,7,288.51,81.14,No,No,Covered,No,No,white,6,57
342,No,No,No,Yes,$20-$40k,1,single,47,Female,11,8,139.27,53.72,No,No,Covered & Medicaid,No,No,white,27,39.5
347,Yes,No,Yes,Yes,> $80k,4,married,42,Male,24,14,190.79,70.7,Yes,No,Covered,No,Yes,white,35,84.5
348,Yes,No,No,No,$20-$40k,2,married,54,Male,10,11,105.64,57.04,No,No,Covered & Medicaid,No,Yes,white,29,57.5
349,Yes,No,No,No,Under $20k,2,married,42,Female,10,6,167.39,62.04,No,Yes,Medicaid,Yes,No,white,18,62
351,No,No,No,No,Under $20k,1,single,36,Male,14,13,122.07,56.24,No,No,Covered,Yes,No,other,19,50
354,Yes,Yes,Yes,No,$40-$80k,1,single,18,Male,14,13,131.93,56.24,No,No,Covered,No,No,white,17,68.5
356,Yes,No,No,Yes,Under $20k,1,single,36,Male,11,8,158.77,63.47,Yes,No,Medicaid,No,No,white,14,80
358,Yes,No,No,Yes,Under $20k,1,divorced,53,Female,8,7,185.42,60.53,Yes,Yes,Medicaid,No,No,black,11,83.5
359,Yes,No,No,Yes,$20-$40k,2,married,54,Male,5,7,154.52,56.24,No,Yes,Medicaid,No,No,black,29,69
360,Yes,Yes,No,No,Under $20k,0,single,55,Male,8,12,140.71,72.1,No,Yes,Covered & Medicaid,Yes,No,white,1,73
361,No,Yes,No,No,$20-$40k,1,single,28,Female,12,13,190.22,67.34,Yes,No,Covered,Yes,No,white,7,29.5
363,Yes,No,No,Yes,$20-$40k,1,single,43,Female,9,8,140.91,69.61,No,Yes,Covered,No,No,white,40,87
365,No,Yes,Yes,No,> $80k,2,single,46,Female,14,6,133.86,61.78,No,Yes,Covered,Yes,No,white,18,35
366,Yes,No,No,Yes,Under $20k,0,single,55,Female,12,11,110.85,60.71,No,No,Medicaid,No,No,black,20,77
367,No,No,No,Yes,Under $20k,1,single,25,Female,12,12,165.25,62.8,No,No,Other,No,No,white,32,78
369,Yes,Yes,No,No,Under $20k,4,married,31,Female,12,11,145.88,66.58,No,Yes,Medicaid,Yes,No,black,3,62.5
370,No,No,No,No,$20-$40k,2,single,52,Female,12,13,153.29,58.67,Yes,No,Medicaid,No,Yes,white,33,56
372,No,No,No,Yes,Under $20k,1,married,49,Male,10,12,205.37,76.32,Yes,No,Covered & Medicaid,No,No,white,38,70.5
373,No,No,No,No,$20-$40k,0,single,35,Male,16,7,201.69,57.04,No,Yes,Covered,No,No,white,16,61.5
375,No,No,No,No,Under $20k,2,single,19,Male,11,11,142.14,63.47,No,No,Medicaid,No,Yes,white,37,55.5
379,No,Yes,No,No,Under $20k,2,single,46,Female,12,8,138.12,53.72,Yes,Yes,Covered & Medicaid,Yes,No,white,10,27
380,Yes,No,No,No,Under $20k,0,single,43,Male,12,12,164.13,57.84,Yes,Yes,Covered,No,No,white,33,69.5
